variant	round	gen_correct	gen_total	gen_pct	eval_before	eval_after	delta
sft	0	0	24	0.0	0	6	+6
sft	1	0	24	0.0	7	7	+0
sft	2	9	24	37.5	7	11	+4
sft	3	0	24	0.0	11	11	+0
dpo_b01_frozen	0	10	24	41.7	1	7	+6
dpo_b01_frozen	1	0	24	0.0	7	0	-7
dpo_b01_frozen	2	0	24	0.0	0	0	+0
dpo_b01_frozen	3	0	24	0.0	0	0	+0
dpo_b01_rolling	0	0	24	0.0	0	7	+7
dpo_b01_rolling	1	7	24	29.2	7	0	-7
dpo_b01_rolling	2	0	24	0.0	0	0	+0
dpo_b01_rolling	3	0	24	0.0	0	0	+0
dpo_b001_frozen	0	0	24	0.0	0	6	+6
dpo_b001_frozen	1	0	24	0.0	7	0	-7
dpo_b001_frozen	2	0	24	0.0	0	0	+0
dpo_b001_frozen	3	0	24	0.0	0	11	+11
dpo_b003_frozen	0	0	24	0.0	0	7	+7
dpo_b003_frozen	1	0	24	0.0	7	0	-7
dpo_b003_frozen	2	0	24	0.0	0	0	+0
dpo_b003_frozen	3	0	24	0.0	0	0	+0
dpo_b005_frozen	0	0	24	0.0	0	7	+7
dpo_b005_frozen	1	8	24	33.3	7	0	-7
dpo_b005_frozen	2	0	24	0.0	0	0	+0
dpo_b005_frozen	3	0	24	0.0	0	7	+7
